time,session 
30,36543.8995 
40,35968.62240000001 
50,35894.42166666667 
60,38389.59925 
70,41904.625857142855 
80,42985.55416666667 
90,62123.314333333336 
100,76359.67787500001 
110,54341.28622727273 
120,74134.9915882353 
130,55889.899311111105 
140,65286.584146341454 
150,77798.34088235296 
160,73139.63089361704 
170,61333.046 
180,61225.00168421053 
190,63706.569563218414 
200,59677.44607692307 
210,58411.929098214256 
220,60303.562258620674 
230,55790.21588135592 
240,57146.462041884806 
250,60368.6195927835 
260,58790.0348241206 
270,60661.89794871795 
280,85574.66072807013 
290,83416.912475 
300,88562.33130281698 
310,86701.14708695654 
320,91963.06804761909 
330,116383.92247619048 
340,129095.90806666666 
