time,session 
30,35887.769 
40,35847.4375 
50,42224.34258333334 
60,40478.37623076922 
70,40159.993071428566 
80,41227.41385714287 
90,42066.90934482758 
100,41344.41160526316 
110,43084.33587096775 
120,43043.724480000004 
130,43803.24599999999 
140,43350.674875000004 
150,42802.733321428575 
160,43113.71091379313 
170,43699.16768656716 
180,42343.89242352943 
190,42223.53886813184 
200,42186.240804878056 
210,42905.02834507043 
220,43117.65236585365 
230,45161.84424539881 
240,50958.62591089105 
247,50916.44481818181 
