time,freemem@tsung_controller@ip-172-31-27-7 
0,3516.00390625 
10,3517.078125 
20,3517.10546875 
30,3517.10546875 
40,3517.10546875 
50,3517.10546875 
60,3517.10546875 
70,3517.10546875 
80,3517.10546875 
90,3517.10546875 
100,3517.10546875 
110,3517.10546875 
120,3517.10546875 
130,3517.10546875 
140,3517.10546875 
150,3517.10546875 
160,3517.10546875 
170,3517.10546875 
180,3517.10546875 
190,3517.10546875 
200,3517.10546875 
210,3517.10546875 
220,3517.10546875 
230,3517.10546875 
240,3517.10546875 
247,3517.10546875 
