time,session 
30,98.95249999999942 
40,42.13952852956339 
50,79.67995238539997 
60,7337.279025313449 
70,7492.42141464882 
80,6951.970341161901 
90,7512.23689609221 
100,7417.810216821427 
110,7268.966178469742 
120,7166.7455850803635 
130,7499.956985065575 
140,6884.03900825697 
150,7370.683313818428 
160,7258.827616779839 
170,7501.872948809781 
180,7254.016865389102 
190,7525.484286203545 
200,7370.792024553601 
210,7381.028996197882 
220,7500.89490357887 
230,7491.24117093839 
240,7486.190331578415 
250,7463.681156228169 
260,7498.969844426449 
270,7467.643388362344 
280,166.17387326563514 
290,99.9969509706822 
294,0 
