time,page 
0,67.0996 
10,30.766666666666666 
20,25.55892307692308 
30,78.38107142857142 
40,194.81349999999998 
50,86.51887234042553 
60,162.3778163265307 
70,151.4031076923077 
80,180.86653846153837 
90,262.25318999999996 
100,232.969725490196 
110,320.3571538461538 
120,509.0572152777779 
130,580.5580808823531 
140,423.2915657142856 
150,1241.0121414634154 
160,2035.9578850574721 
170,3493.145411320754 
180,3898.5364691358013 
190,4120.897250000001 
200,2924.41147926267 
210,2805.094630801685 
220,2464.46329317269 
230,2376.414220729366 
240,2976.4557361419047 
250,2445.377785377357 
260,2523.333394618834 
270,3241.7457911227148 
280,5328.739641732283 
290,6373.116123893806 
300,4646.639680000002 
310,5453.095588516748 
