time,size_sent,size_rcv 
0,10.5578125,10.7171875 
10,5.43515625,5.4609375 
20,14.659375,14.66484375 
30,26.7453125,28.36171875 
40,48.7890625,50.78046875 
50,43.86484375,46.07734375 
60,60.93828125,64.34140625 
70,85.93828125,95.5984375 
80,149.18359375,156.7203125 
90,94.36171875,104.175 
100,170.23671875,182.45546875 
110,187.01015625,209.68515625 
120,219.07890625,235.01171875 
130,224.775,242.74296875 
140,237.85703125,260.5234375 
150,308.1234375,341.59453125 
160,375.0890625,393.3546875 
170,358.559375,391.415625 
180,482.1859375,528.27734375 
190,580.4703125,629.32265625 
200,683.87265625,739.5015625 
210,699.234375,756.42109375 
220,770.659375,844.98125 
230,835.19921875,909.478125 
240,1081.8328125,1173.30546875 
250,1058.19609375,1151.9828125 
260,1293.33125,1411.9890625 
270,1349.66484375,1453.04375 
280,1394.78828125,1545.75625 
290,1731.57109375,1888.00703125 
300,1901.9671875,2071.2296875 
310,1757.2546875,1922.11796875 
320,2052.43984375,2230.10625 
330,2226.725,2449.27734375 
340,2304.9921875,2517.9328125 
350,2388.553125,2589.88359375 
360,2387.709375,2624.6609375 
370,2539.3125,2777.1515625 
380,2485.48828125,2453.25546875 
390,2552.99765625,2648.7171875 
400,2927.03984375,2671.67265625 
410,3105.30390625,3022.26640625 
420,3234.58046875,3036.10703125 
430,3006.22265625,3022.2578125 
440,2806.89375,3466.69609375 
450,2762.62421875,3564.98828125 
460,2510.4671875,3220.7671875 
470,2325.63671875,2933.27734375 
480,1265.128125,1667.26640625 
