time,session 
30,35060.443999999996 
40,35075.09469491524 
50,35056.7593559322 
60,35057.27578846155 
70,35059.7434848485 
80,51090.520788135604 
90,51495.82529927008 
100,50730.176291666685 
110,52453.4588313253 
120,49415.652256983245 
130,52377.61031395346 
140,54021.95706926414 
150,51720.771331950236 
160,52788.92610280375 
170,54094.03692857144 
180,55466.1257148014 
190,52595.33602295083 
200,55352.84964117651 
210,54137.218834890955 
220,54545.808747663585 
230,56163.165039634165 
240,55531.82944444444 
250,56245.40538399999 
260,57782.04125181603 
270,58782.17298009948 
280,59228.489598623884 
290,58269.72656338027 
300,59198.63548076925 
310,56154.28844311379 
320,58654.77950195315 
330,57874.45140952386 
340,57513.946979345914 
350,58708.11967985615 
360,61456.894401886835 
370,82748.53998601394 
380,82647.49840925264 
390,82544.39671830994 
400,82527.40340206187 
407,83258.73722522521 
