time,load@tsung_controller@ip-172-31-29-214 
0,0.03125 
10,0.01953125 
20,0.01953125 
30,0.01953125 
40,0.01171875 
50,0.23046875 
60,0.19921875 
70,0.16015625 
80,0.140625 
90,0.12109375 
100,0.1015625 
110,0.078125 
120,0.0703125 
130,0.12890625 
140,0.109375 
150,0.08984375 
160,0.078125 
170,0.0703125 
180,0.05859375 
190,0.05078125 
200,0.0390625 
210,0.03125 
220,0.03125 
230,0.01953125 
240,0.01953125 
250,0.01953125 
260,0.08984375 
270,0.0703125 
280,0.140625 
290,0.109375 
300,0.171875 
310,0.140625 
320,0.12109375 
330,0.26171875 
340,0.21875 
350,0.26171875 
360,0.21875 
370,0.19140625 
380,0.16015625 
390,0.12890625 
400,0.19140625 
407,0.16015625 
