time,load@tsung_controller@ip-172-31-29-214 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.0 
130,0.078125 
140,0.0703125 
150,0.05859375 
160,0.05078125 
170,0.0390625 
180,0.03125 
190,0.03125 
200,0.01953125 
210,0.01953125 
220,0.01953125 
230,0.08984375 
240,0.0703125 
250,0.05859375 
260,0.05078125 
270,0.0390625 
280,0.0390625 
290,0.03125 
300,0.109375 
310,0.08984375 
320,0.0703125 
330,0.05859375 
340,0.12890625 
350,0.109375 
360,0.08984375 
370,0.078125 
380,0.0703125 
390,0.05859375 
400,0.05078125 
