time,users_count,finish_users_count 
0,77,0 
10,178,0 
20,279,0 
30,430,10 
40,564,58 
50,701,113 
60,901,175 
70,1089,234 
80,1277,341 
90,1508,473 
100,1778,615 
110,2037,783 
120,2338,950 
130,2641,1143 
140,2938,1400 
150,3307,1632 
160,3630,1873 
170,3979,2158 
180,4328,2461 
190,4731,2736 
200,5148,3062 
210,5558,3407 
220,5990,3747 
230,6422,4131 
240,6887,4499 
250,7407,4890 
260,7918,5255 
270,8462,5695 
280,9019,6109 
290,9588,6586 
300,10129,7052 
310,10701,7568 
320,11278,8063 
330,11341,8623 
340,11341,9177 
350,11341,9717 
360,11341,10149 
370,11341,10449 
380,11341,10698 
390,11341,11018 
400,11341,11295 
407,11341,11341 
