time,connect,request 
0,22.994,121.575 
10,22.994,405.304 
20,1479.212,1671.305 
30,1479.212,1671.305 
40,1479.212,1671.305 
50,1479.212,1671.305 
60,1479.212,1671.305 
70,1479.212,1671.305 
80,1479.212,2514.357 
90,1479.212,3423.874 
100,1479.212,3732.415 
110,1479.212,3732.415 
120,1479.212,3732.415 
130,1479.212,3732.415 
140,1479.212,3732.415 
150,1479.212,3732.415 
160,1479.212,3732.415 
170,1479.212,3732.415 
180,1479.212,3732.415 
190,1479.212,3732.415 
200,1479.212,3732.415 
210,1479.212,3732.415 
220,1479.212,3732.415 
230,1479.212,3732.415 
240,1479.212,3732.415 
250,1479.212,3732.415 
260,1479.212,3732.415 
270,1479.212,3743.569 
280,1479.212,3743.569 
290,1479.212,3743.569 
300,1479.212,3743.569 
310,1479.212,3743.569 
320,1479.212,3743.569 
330,1479.212,3743.569 
340,1479.212,3743.569 
350,1479.212,3743.569 
360,1479.212,3743.569 
370,1479.212,3743.569 
380,1479.212,3743.569 
390,1479.212,3743.569 
400,1479.212,3743.569 
410,1479.212,3743.569 
412,1479.212,3743.569 
