time,users,connected 
0,105,97 
10,213,206 
20,302,302 
30,385,379 
40,467,460 
50,562,558 
60,694,677 
70,829,795 
80,921,893 
90,1024,1000 
100,1130,1090 
110,1259,1223 
120,1331,1285 
130,1413,1376 
140,1496,1435 
150,1636,1574 
160,1757,1686 
170,1852,1775 
180,1904,1851 
190,1965,1897 
200,2036,1960 
210,2185,2092 
220,2258,2159 
230,2314,2216 
240,2455,2368 
250,2544,2391 
260,2661,2492 
270,2757,2558 
280,2871,2646 
290,2944,2661 
300,3081,2733 
310,3208,2700 
320,3298,2725 
330,2810,2430 
340,2218,1928 
350,1676,1479 
360,1192,1067 
370,914,799 
