time,users_count,finish_users_count 
0,10.5,0 
10,10.8,0 
20,8.9,0 
30,10.9,2.6 
40,14.1,5.9 
50,14.5,5 
60,18,4.8 
70,20.2,6.7 
80,19.6,10.4 
90,24.4,14.1 
100,24.6,14 
110,27.3,14.4 
120,25.8,18.6 
130,27.6,19.4 
140,29.6,21.3 
150,36.9,22.9 
160,35.6,23.5 
170,35.6,26.1 
180,34.7,29.5 
190,38.6,32.5 
200,37.6,30.5 
210,45.4,30.5 
220,42.2,34.9 
230,44.3,38.7 
240,51,36.9 
250,48.9,40 
260,49.6,37.9 
270,52.9,43.3 
280,56.2,44.8 
290,54.9,47.6 
300,57.1,43.4 
310,57.7,45 
320,58.5,49.5 
330,6.7,55.5 
340,0,59.2 
350,0,54.2 
360,0,48.4 
370,0,27.8 
