time,size_sent,size_rcv 
0,76.5734375,76.24296875 
10,155.046875,154.50546875 
20,254.7296875,254.271875 
30,445.5296875,454.0984375 
40,670.35234375,681.771875 
50,876.859375,890.4625 
60,1128.153125,1146.4390625 
70,1462.11015625,1514.2640625 
80,1842.0265625,1901.30625 
90,2298.19375,2371.06328125 
100,2792.84921875,2887.8171875 
110,3284.78671875,3382.43828125 
120,3873.04375,3974.75078125 
130,4433.38203125,4546.9890625 
140,5066.815625,5200.178125 
150,5776.70234375,5917.98515625 
160,6516.82265625,6673.3046875 
170,7268.69375,7430.2765625 
180,8096.01953125,8270.375 
190,8966.25703125,9171.01171875 
200,9838.8359375,10036.678125 
210,10746.38984375,10962.41875 
220,11754.6828125,12000.0546875 
230,12767.0609375,13001.15078125 
240,13696.028125,13936.56953125 
250,14818.26875,15096.4453125 
260,15945.42109375,16239.75859375 
270,17124.25859375,17406.66640625 
280,18302.47578125,18631.70234375 
290,19486.009375,19808.04609375 
300,20730.40390625,21009.034375 
310,21963.06484375,22204.7921875 
