time,size_sent,size_rcv 
0,62.59921875,61.59609375 
10,107.053125,103.471875 
20,71.10859375,71.215625 
30,155.3015625,161.44296875 
40,222.86796875,222.09296875 
50,186.58828125,189.1875 
60,275.9734375,277.65625 
70,357.87421875,361.1546875 
80,377.24375,392.78984375 
90,411.7421875,368.85 
100,407.50078125,377.99140625 
110,435.3875,423.39765625 
120,452.17734375,424.17734375 
130,492.50234375,487.0796875 
140,495.459375,496.52734375 
150,517.453125,481.4890625 
160,508.74765625,488.38125 
170,527.73125,520.70546875 
180,566.1078125,590.45078125 
190,558.48046875,616.08203125 
200,582.36171875,590.86875 
210,563.2734375,616.5546875 
220,536.428125,574.5921875 
230,559.696875,655.2453125 
240,590.37734375,670.7 
250,625.58671875,720.459375 
260,612.4125,695.084375 
270,611.30546875,712.3171875 
280,614.675,730.13828125 
290,622.32578125,761.4140625 
300,563.04609375,725.8578125 
310,536.46171875,576.7421875 
320,515.13203125,576.1765625 
330,374.871875,374.45703125 
340,292.24609375,351.090625 
350,293.31796875,362.54375 
360,246.940625,289.9125 
370,175.028125,238.6421875 
380,116.59609375,214.925 
390,84.25546875,193.0734375 
400,52.2734375,143.0671875 
410,16.78203125,90.0796875 
420,8.50390625,81.06171875 
430,7.18671875,79.7765625 
440,2.80234375,79.7765625 
450,5.1296875,79.7765625 
