time,session 
30,35072.99142857142 
40,35071.89749999999 
50,35057.404761904756 
60,35055.57665909091 
70,35075.75732500003 
80,52296.72853906248 
90,53576.986604838705 
100,49155.831625850326 
110,50954.40479411761 
120,51234.05227071826 
130,52452.246163366304 
140,54339.775 
150,54975.16153571428 
160,51789.487320675136 
170,56203.228097472915 
180,55840.94457992562 
190,52211.412076086934 
200,54385.48018322988 
210,54578.44860501568 
220,52818.41964880949 
230,56212.83249431822 
240,54168.46502197809 
250,54242.85506203479 
260,57410.82961989796 
270,54678.79666101693 
280,55558.28210762331 
290,57553.22496238938 
300,56517.29081712962 
310,56404.197691111134 
320,58067.06506161969 
330,58685.7951813644 
340,56484.27582182991 
350,56653.23877368413 
360,63450.666432372454 
370,80357.59908679248 
380,81289.23060964922 
390,82985.33879921252 
400,83323.13683728814 
405,83671.67670833335 
