time,users_count,finish_users_count 
0,106,0 
10,199,0 
20,302,0 
30,424,13 
40,589,67 
50,743,113 
60,960,174 
70,1140,246 
80,1328,389 
90,1589,524 
100,1800,654 
110,2071,818 
120,2364,995 
130,2661,1224 
140,2969,1432 
150,3315,1661 
160,3637,1933 
170,3988,2204 
180,4396,2467 
190,4791,2773 
200,5174,3090 
210,5604,3403 
220,6035,3758 
230,6477,4091 
240,6962,4477 
250,7494,4855 
260,7973,5301 
270,8491,5755 
280,9046,6171 
290,9597,6566 
300,10144,7048 
310,10713,7450 
320,11301,7926 
330,11324,8536 
340,11324,9174 
350,11324,9691 
360,11324,10165 
370,11324,10414 
380,11324,10664 
390,11324,10884 
