time,freemem@tsung_controller@ip-172-31-19-35 
0,3523.62890625 
10,3521.38671875 
20,3518.08203125 
30,3515.0390625 
40,3503.61328125 
50,3494.6796875 
60,3487.1171875 
70,3483.37890625 
80,3474.5 
90,3471.3359375 
100,3468.8828125 
110,3468.8828125 
120,3461.34375 
130,3459.84765625 
140,3445.3359375 
150,3441.62890625 
160,3431.234375 
170,3424.640625 
180,3422.875 
190,3421.1328125 
200,3418.74609375 
210,3402.8828125 
220,3388.80859375 
230,3386.96875 
240,3386.38671875 
250,3384.9140625 
260,3382.44140625 
270,3366.828125 
280,3363.8515625 
290,3355.73828125 
300,3346.0859375 
310,3329.3125 
320,3299.6875 
330,3282.35546875 
340,3279.51171875 
350,3279.51171875 
360,3279.51171875 
370,3279.51171875 
380,3279.51171875 
390,3279.51171875 
