time,freemem@tsung_controller@ip-172-31-19-35 
0,3521.65234375 
10,3520.07421875 
20,3518.03125 
30,3515.22265625 
40,3505.0859375 
50,3499.83984375 
60,3493.1484375 
70,3483.19140625 
80,3481.34375 
90,3479.58203125 
100,3474.7578125 
110,3464.8671875 
120,3462.56640625 
130,3447.17578125 
140,3443.51953125 
150,3441.55078125 
160,3440.2421875 
170,3438.2734375 
180,3436.6640625 
190,3423.0546875 
200,3419.3046875 
210,3389.37109375 
220,3384.9375 
230,3371.0703125 
240,3367.265625 
250,3365.5 
260,3364.9921875 
270,3364.28515625 
280,3350.578125 
290,3347.90625 
300,3347.25 
310,3346.625 
320,3346.1484375 
330,3344.81640625 
340,3344.6796875 
350,3344.6796875 
360,3344.6796875 
370,3344.640625 
380,3344.640625 
390,3344.640625 
400,3344.640625 
407,3344.640625 
