time,session 
30,35316.599 
40,35491.522 
50,35610.8 
60,37193.401 
70,37301.261 
80,83500.869 
90,85918.182 
100,86782.991 
110,87265.282 
120,87265.282 
130,87265.282 
140,87265.282 
150,88292.123 
160,90771.367 
170,93724.514 
180,95878.845 
190,96166.388 
200,96166.388 
210,96166.388 
220,96166.388 
230,96166.388 
240,96166.388 
250,96166.388 
260,96166.388 
270,96166.388 
280,96166.388 
290,96166.388 
300,96166.388 
310,96166.388 
320,96166.388 
330,96166.388 
340,96166.388 
350,96166.388 
360,96175.709 
370,96175.709 
380,96175.709 
390,96175.709 
400,96175.709 
410,96175.709 
412,96175.709 
