time,freemem@tsung_controller@ip-172-31-31-18 
0,3517.60546875 
10,3518.2578125 
20,3517.01953125 
30,3513.71484375 
40,3503.15234375 
50,3496.03515625 
60,3492.48828125 
70,3484.18359375 
80,3475.1875 
90,3460.49609375 
100,3456.8515625 
110,3443.24609375 
120,3443.47265625 
130,3441.609375 
140,3440.9375 
150,3440.55078125 
160,3439.296875 
170,3438.640625 
180,3438.0234375 
190,3423.90625 
200,3422.7890625 
210,3422.01953125 
220,3421.5859375 
230,3421.02734375 
240,3419.37890625 
250,3416.60546875 
260,3403.875 
270,3401.88671875 
280,3402.0546875 
290,3401.3203125 
300,3400.9375 
310,3400.3984375 
320,3399.49609375 
330,3399.00390625 
340,3398.12109375 
350,3398.72265625 
360,3399.5546875 
370,3399.61328125 
380,3399.65625 
390,3399.421875 
400,3400.16015625 
410,3401.546875 
412,3403.09765625 
