time,users,connected 
0,86,81 
10,199,189 
20,302,302 
30,427,427 
40,516,514 
50,587,584 
60,724,701 
70,860,827 
80,957,923 
90,1080,855 
100,1161,842 
110,1212,832 
120,1334,850 
130,1463,856 
140,1565,857 
150,1683,844 
160,1839,854 
170,1984,856 
180,2085,847 
190,2186,843 
200,2255,843 
210,2314,860 
220,2425,838 
230,2519,830 
240,2603,856 
250,2667,859 
260,2795,861 
270,2868,832 
280,2960,845 
290,3024,841 
300,3092,858 
310,3209,853 
320,3271,833 
330,2925,845 
340,2405,838 
350,1836,792 
360,1308,525 
370,999,504 
380,641,434 
390,349,271 
400,95,103 
410,1,1 
420,1,1 
430,1,1 
440,1,1 
450,1,1 
460,1,1 
467,0,0 
