time,session 
40,88.62655337483457 
50,133.53083929447774 
60,63.11746677574668 
70,243.95694645656067 
80,22494.917603839556 
90,21751.80769715508 
100,11327.801726632651 
110,21988.328394901382 
120,16827.401345783284 
130,19784.23907142867 
140,22837.976671371733 
150,22381.720060200874 
160,25841.41328090315 
170,26463.609277852418 
180,24332.13647503472 
190,22511.13737401194 
200,27198.038022732144 
210,25483.479766153145 
220,23932.65788274253 
230,26277.70290830409 
240,25249.89007123937 
250,25479.450622840384 
260,26706.168982090137 
270,26432.634395088775 
280,15930.231825750649 
290,16969.541270805592 
300,13385.872856835509 
310,13795.878226342105 
320,18514.373027490292 
330,21139.272738760246 
340,9121.663389912897 
350,10715.903521201737 
360,6721.076924537433 
367,6090.409224789034 
