time,page 
0,127.23200000000001 
10,148.29787499999998 
20,107.30649999999999 
30,117.237 
40,245.35871875 
50,130.3642352941176 
60,253.2189508196721 
70,123.60824999999996 
80,217.34367032967032 
90,163.65782178217822 
100,251.8791999999999 
110,212.1541942446042 
120,200.47089940828408 
130,255.44738888888872 
140,221.9289047619048 
150,236.9908849557523 
160,227.76710441767057 
170,273.1802234042553 
180,176.77789595375737 
190,210.94087139107614 
200,228.33299999999969 
210,255.02572375690613 
220,305.5977455138666 
230,307.9524266055046 
240,363.8954532803179 
250,495.31859447983 
260,569.8225046210725 
270,691.4269483471077 
280,663.7882735849058 
290,814.4039649122809 
294,0 
