time,connect,request 
0,15.405,115.588 
10,15.405,115.588 
20,15.405,115.588 
30,15.405,345.201 
40,15.405,441.707 
50,15.405,441.707 
60,23.718,459.615 
70,23.718,464.181 
80,23.718,533.638 
90,385.994,621.239 
100,385.994,621.239 
110,385.994,868.073 
120,385.994,1309.679 
130,385.994,1434.02 
140,385.994,1434.02 
150,385.994,1466.845 
160,385.994,1760.07 
170,385.994,2262.11 
180,385.994,3881.109 
190,385.994,5007.312 
200,385.994,5380.85 
210,385.994,5380.85 
220,385.994,5380.85 
230,385.994,5380.85 
240,385.994,5380.85 
250,385.994,6313.416 
260,385.994,6823.496 
270,385.994,6917.66 
280,385.994,6917.66 
290,385.994,7060.235 
300,385.994,7060.235 
310,385.994,7060.235 
320,385.994,7060.235 
330,385.994,7060.235 
340,385.994,7443.196 
347,385.994,7443.196 
