time,session 
30,35050.556 
40,35049.059 
50,35049.029 
60,35049.029 
70,35049.029 
80,35049.029 
90,35049.029 
100,35049.029 
110,35048.589 
120,35048.589 
130,35048.589 
140,35048.589 
150,35048.589 
160,35048.589 
170,35048.589 
180,35048.589 
190,35048.589 
200,35048.589 
210,35048.589 
220,35048.589 
230,35048.589 
240,35048.589 
250,35048.589 
260,35048.589 
270,35048.589 
280,35048.589 
290,35048.589 
300,35048.589 
310,35048.589 
320,35048.589 
330,35048.589 
340,35048.589 
350,35035.643 
360,35034.934 
370,35034.934 
380,35034.934 
390,35034.934 
400,35034.934 
407,35034.934 
