time,load@tsung_controller@ip-172-31-31-18 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.1484375 
90,0.1484375 
100,0.1484375 
110,0.1484375 
120,0.1484375 
130,0.1484375 
140,0.1484375 
150,0.1484375 
160,0.1484375 
170,0.1484375 
180,0.1484375 
190,0.1484375 
200,0.1484375 
210,0.1484375 
220,0.1484375 
230,0.1484375 
240,0.1484375 
250,0.1484375 
260,0.1484375 
270,0.1484375 
280,0.1484375 
290,0.1484375 
300,0.1796875 
310,0.23046875 
320,0.23046875 
330,0.23046875 
340,0.23046875 
350,0.23046875 
360,0.23046875 
370,0.23046875 
380,0.23046875 
390,0.23046875 
400,0.23046875 
407,0.23046875 
