time,connect,request 
0,11.947,88.069 
10,11.947,88.069 
20,13.816,88.069 
30,13.816,88.069 
40,13.816,88.069 
50,14.056,256.099 
60,15.586,256.099 
70,15.586,256.099 
80,15.586,256.099 
90,15.586,256.099 
100,15.586,256.099 
110,15.586,256.099 
120,15.586,256.099 
130,15.586,256.099 
140,15.586,256.099 
150,15.586,256.099 
160,15.586,256.099 
170,15.586,256.099 
180,15.586,256.099 
190,18.185,256.099 
200,3024.882,3041.419 
210,3024.882,3041.419 
220,3024.882,3041.419 
230,3024.882,3041.419 
240,3024.882,3041.419 
250,3024.882,3041.419 
260,3024.882,3041.419 
270,3024.882,3041.419 
280,3024.882,3041.419 
290,3024.882,3041.419 
300,3024.882,3041.419 
310,3024.882,3041.419 
320,3024.882,3041.419 
330,3024.882,3041.419 
340,3024.882,3041.419 
350,3024.882,3041.419 
360,3024.882,3041.419 
370,3024.882,3041.419 
380,3024.882,3041.419 
390,3024.882,3041.419 
