time,freemem@tsung_controller@ip-172-31-19-35 
0,3523.62890625 
10,3523.62890625 
20,3523.62890625 
30,3523.62890625 
40,3523.62890625 
50,3523.62890625 
60,3523.62890625 
70,3523.62890625 
80,3523.62890625 
90,3523.62890625 
100,3523.62890625 
110,3523.62890625 
120,3523.62890625 
130,3523.62890625 
140,3523.62890625 
150,3523.62890625 
160,3523.62890625 
170,3523.62890625 
180,3523.62890625 
190,3523.62890625 
200,3523.62890625 
210,3523.62890625 
220,3523.62890625 
230,3523.62890625 
240,3523.62890625 
250,3523.62890625 
260,3523.62890625 
270,3523.62890625 
280,3523.62890625 
290,3523.62890625 
300,3523.62890625 
310,3523.62890625 
320,3523.62890625 
330,3523.62890625 
340,3523.62890625 
350,3523.62890625 
360,3523.62890625 
370,3523.62890625 
380,3523.62890625 
390,3523.62890625 
