time,load@tsung_controller@ip-172-31-19-35 
0,0.1015625 
10,0.1015625 
20,0.1015625 
30,0.1015625 
40,0.1015625 
50,0.12109375 
60,0.12109375 
70,0.12109375 
80,0.12109375 
90,0.12109375 
100,0.12109375 
110,0.12109375 
120,0.12109375 
130,0.12109375 
140,0.12109375 
150,0.12109375 
160,0.12109375 
170,0.12109375 
180,0.12109375 
190,0.12109375 
200,0.12109375 
210,0.12109375 
220,0.12109375 
230,0.12109375 
240,0.19921875 
250,0.19921875 
260,0.19921875 
270,0.19921875 
280,0.19921875 
290,0.19921875 
300,0.21875 
310,0.26171875 
320,0.37890625 
330,0.48046875 
340,0.48046875 
350,0.51171875 
360,0.51171875 
370,0.51171875 
380,0.51171875 
390,0.51171875 
