time,session 
30,35309.387 
40,35309.387 
50,35309.387 
60,35309.387 
70,35309.387 
80,80336.491 
90,80336.491 
100,80336.491 
110,80336.491 
120,80336.491 
130,80336.491 
140,80336.491 
150,80336.491 
160,80336.491 
170,80336.491 
180,80336.491 
190,80361.761 
200,81201.749 
210,82052.991 
220,82256.64 
230,82559.206 
240,82655.501 
250,82655.501 
260,82713.88 
270,82862.304 
280,85121.544 
290,85322.839 
300,85591.923 
310,86131.335 
320,86152.582 
330,86152.582 
340,86152.582 
350,86152.582 
360,86152.582 
370,86152.582 
380,86152.582 
390,86152.582 
400,86152.582 
407,86152.582 
