time,page 
0,47.711108527434384 
10,29.745516100936126 
20,28.299397533342738 
30,43.248064624682854 
40,45.34113693443742 
50,38.66315952944468 
60,72.9444979685968 
70,369.76789632273835 
80,600.6429118997502 
90,729.9236830651331 
100,1878.7316032603728 
110,2381.37320840788 
120,2249.8088947160973 
130,2320.1613845660036 
140,2121.093819135514 
150,2105.767883125974 
160,2207.0162093628974 
170,2073.2049717840564 
180,2062.884541499177 
190,1886.1459612650106 
200,1857.7888022355526 
210,1788.9650295841057 
220,1872.4298216556826 
230,1750.655122497718 
240,1931.4641363439255 
250,1768.1300514937 
260,1901.4670374969555 
270,1783.7360661452688 
280,1803.6793551837313 
290,1704.9809452155305 
300,1455.4246561950404 
310,1989.6288589481355 
320,3961.2705398788908 
330,6239.331580187206 
340,7571.924651457693 
350,7121.029829463049 
360,6319.777618552104 
370,7870.999695036628 
380,10114.56749651859 
390,8314.992228443705 
400,9803.256639991185 
410,13992.180354240623 
420,8841.112259236499 
430,1784.0891480173761 
440,2285.206683026383 
450,2243.8781508783245 
