time,session 
30,35063.406615384614 
40,35061.35357407406 
50,35059.58895652175 
60,35062.634836065576 
70,35062.309069444455 
80,54273.211741258725 
90,52405.84142222223 
100,50994.19223076923 
110,51812.61332317071 
120,54652.56424293785 
130,52962.75680786031 
140,58878.39857692306 
150,53356.04162882094 
160,51130.01478308827 
170,57667.05308118082 
180,52021.8527338403 
190,54801.488281045706 
200,55971.30219873819 
210,55453.51310223641 
220,56405.8650788732 
230,57408.84437537538 
240,55314.022505181376 
250,55498.46551058199 
260,56976.84812780272 
270,57588.25831497801 
280,56122.11047355774 
290,55237.81572658224 
300,59007.79851659759 
310,57605.918390547246 
320,59422.69664495795 
330,60380.84742622941 
340,58009.262865203724 
350,59958.484466150854 
360,60330.2902890295 
370,81381.2679518072 
380,81931.81271600004 
390,83278.9753909091 
