time,load@tsung_controller@ip-172-31-19-35 
0,0.140625 
10,0.12109375 
20,0.1015625 
30,0.078125 
40,0.0703125 
50,0.0703125 
60,0.0703125 
70,0.0703125 
80,0.0703125 
90,0.0703125 
100,0.0703125 
110,0.0703125 
120,0.0703125 
130,0.0703125 
140,0.0703125 
150,0.05859375 
160,0.05078125 
170,0.0390625 
180,0.03125 
190,0.03125 
200,0.03125 
210,0.03125 
220,0.03125 
230,0.03125 
240,0.03125 
250,0.03125 
260,0.03125 
270,0.03125 
280,0.03125 
290,0.03125 
300,0.03125 
310,0.03125 
320,0.03125 
330,0.03125 
340,0.03125 
350,0.03125 
360,0.03125 
370,0.03125 
380,0.03125 
390,0.03125 
400,0.03125 
405,0.03125 
