time,connect,request 
0,9.8,19.6 
10,9.3,19.4 
20,10.3,18.4 
30,14.1,34 
40,12.6,34.7 
50,14.9,42.4 
60,17.6,50.3 
70,24.6,57.6 
80,25.7,64.1 
90,27.3,70.4 
100,34,82.9 
110,28.6,79 
120,36.8,96.3 
130,41.2,104.2 
140,40.8,108.1 
150,41,111.4 
160,45.9,123.6 
170,50.7,123.3 
180,50.2,132.8 
190,54.1,138.1 
200,56.1,136.1 
210,62.1,144.5 
220,73.4,155.4 
230,73,158.6 
240,78.2,165.7 
250,81.8,176.9 
260,79,175.4 
270,87.4,189.2 
280,88.3,187.5 
290,90.3,199.2 
300,96.6,209.9 
310,100.9,220.3 
320,96,208.8 
330,51.1,150.2 
340,36.4,113.4 
350,24.7,108.1 
360,28.6,79.2 
370,29.9,58.4 
380,30.9,60.7 
390,27.7,58.7 
400,11.8,39.6 
407,0,11.8 
